,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,для координат,Coords
0,0,0,0,0,сосновая аллея,"(55.8192784, 37.4636565)"
1,1,1,1,1,улица Чистова,"(55.6974793, 37.7497672)"
2,2,2,2,2,родниковая,"(55.6316823, 37.3949515)"
3,3,3,3,3,череповецкая ,"(55.8981057, 37.5594527)"
4,4,4,4,4,вагоноремонтая,
5,5,5,5,5,малый власьевский пер.,"(55.7460291, 37.5930978)"
6,6,6,6,6,яна райниса,"(55.8505159, 37.4384451)"
7,7,7,7,7,игарский проезд,"(55.8569841, 37.6526948)"
8,8,8,8,8,проезд невельского,"(55.7523759, 37.6988464)"
9,9,9,9,9,краснопресненская наб.,"(55.7520816, 37.5531517)"
10,10,10,10,10,просвирин переулок,"(55.7686924, 37.633994)"
11,11,11,11,11,библиотечная улица,"(55.744628, 37.674422)"
12,12,12,12,12,1-й квартал Капотня,"(55.6348465, 37.8013717912315)"
13,13,13,13,13,Светлогорский проезд,"(55.8503909, 37.4026993)"
14,14,14,14,14,Поклонная улица,"(55.7339751, 37.5216256)"
15,15,15,15,15,1-я фрунзенская,"(55.72543985, 37.5848604311418)"
16,16,16,16,16,наташи ковшовой,"(55.6843539, 37.4549865)"
17,17,17,17,17,набережная Тараса Шевченко,"(55.7467681, 37.5727808)"
18,18,18,18,18,улица Сосенский Стан,"(55.5645841, 37.4733918)"
19,19,19,19,19,ул. 1-ая Парковая д. 12,
20,20,20,20,20,2-й пятигорский проезд,"(55.7247026, 37.7690227)"
21,21,21,21,21,новодевичий проезд,"(55.7293165, 37.5578005)"
22,22,22,22,22,улица шумилова,"(55.7084805, 37.7742002)"
23,23,23,23,23,2 ий  новоподмосковный пер,
24,24,24,24,24,даев переулок,"(55.7704362, 37.6346515)"
25,25,25,25,25,улица елены колесовой,"(55.6775048, 37.4516326)"
26,26,26,26,26,чистопрудный бульвар,"(55.7600821, 37.6459697)"
27,27,27,27,27,вокзальный пер.,"(55.8180197, 37.5141208)"
28,28,28,28,28,ореховый проезд,"(55.6225879, 37.7304806)"
29,29,29,29,29,2-дачно мещерский,"(55.6680724, 37.4125037)"
30,30,30,30,30,улица 800-летия Москвы,"(55.8779507, 37.5443684)"
31,31,31,31,31,туристская ,"(55.8490968, 37.4230355)"
32,32,32,32,32,5-я кожуховская,"(55.7054095, 37.6653638)"
33,33,33,33,33,изваринская улица,"(55.6125219, 37.2537452)"
34,34,34,34,34,2-й кожуховский переулок ,
35,35,35,35,35,проезд Одоевского,"(55.6038715, 37.5104888)"
36,36,36,36,36,малый трёхгорный переулок,"(55.7579344, 37.566715)"
37,37,37,37,37,просторная,"(55.80610525, 37.71575999700109)"
38,38,38,38,38,10-я соколиной горы,"(55.7632857, 37.7354294)"
39,39,39,39,39,мкр  северное чертаново,
40,40,40,40,40,плющева,"(55.7388627, 37.7613427)"
41,41,41,41,41,Зеленодольская улица,"(55.7079226, 37.7680536)"
42,42,42,42,42,летчика бабушкина,"(55.8715229, 37.6765833)"
43,43,43,43,43,улица малая полянка,"(55.7349969, 37.617082)"
44,44,44,44,44,новочеремушкинская ,"(55.683395899999994, 37.58281518398215)"
45,45,45,45,45,1-я Новокузьминская улица,"(55.7170036, 37.7828987)"
46,46,46,46,46,улица Хлобыстова,"(55.7158221, 37.8163308)"
47,47,47,47,47,2-й Троицкий переулок,"(55.7754862, 37.6213064)"
48,48,48,48,48,юл.фучика,"(55.7721026, 37.5914676)"
49,49,49,49,49,седова,"(55.8524883, 37.6372142)"
50,50,50,50,50,улица усиевича,"(55.8083062, 37.5172628)"
51,51,51,51,51,тишинская площадь,"(55.7703408, 37.5829068715854)"
52,52,52,52,52,Ленинградский проспект,"(55.7941948, 37.546295)"
53,53,53,53,53,улица Корнейчука,"(55.8920397, 37.6245184)"
54,54,54,54,54,куликовская улица,"(55.5785975, 37.5716473)"
55,55,55,55,55,бульвар адмирала ушакова,"(55.5454337, 37.5432114)"
56,56,56,56,56,кременчугская улица,"(55.7260082, 37.4612586)"
57,57,57,57,57,карамышевская набережная,"(55.7690375, 37.4909543)"
58,58,58,58,58,4-й стрелецкий,"(55.7976076, 37.6065861)"
59,59,59,59,59,новокузнецкая улица,"(55.7410921, 37.6296294)"
60,60,60,60,60,шелепихинское шоссе,"(55.7566328, 37.5247182)"
61,61,61,61,61,улица Ремизова,"(55.6797893, 37.5958817)"
62,62,62,62,62,2-я Хуторская улица,"(55.8069812, 37.5787222)"
63,63,63,63,63,бродников переулок,"(55.7369847, 37.6167398)"
64,64,64,64,64,автозаводская улица,"(55.7076703, 37.6594859)"
65,65,65,65,65,Саянская улица,"(55.7674715, 37.8346284)"
66,66,66,66,66,восточная улица,"(55.7146924, 37.6598481)"
67,67,67,67,67,бронницкая,"(55.7312698, 37.755764)"
68,68,68,68,68,алма-атинская улица,"(55.6406441, 37.7700503)"
69,69,69,69,69,спортивная ул.,"(55.611723, 37.6679911)"
70,70,70,70,70,сергея эйзенштейна,"(55.8292078, 37.6448625)"
71,71,71,71,71,8-й новоподмосковный переулок,"(55.8226397, 37.5247461)"
72,72,72,72,72,парковая,"(55.807393, 37.833744)"
73,73,73,73,73,улица образцова,"(55.7852956, 37.6068956)"
74,74,74,74,74,Ставропольская улица,"(55.6803961, 37.7419793)"
75,75,75,75,75,1-я Мясниковская улица,"(55.8176947, 37.7073359)"
76,76,76,76,76,ленская улица,"(55.8635477, 37.6460049)"
77,77,77,77,77,литовский бул.,"(55.6078821, 37.524832)"
78,78,78,78,78,барышиха ,"(55.85476405, 37.34170551161159)"
79,79,79,79,79,большой факельный переулок,"(55.7411559, 37.6697032)"
80,80,80,80,80,10-я парковая ,"(55.79282954999999, 37.8208494)"
81,81,81,81,81,ул.россошанская,"(55.5953608, 37.6031949)"
82,82,82,82,82,улица Молодцова,"(55.8796983, 37.6225117)"
83,83,83,83,83,тархановская,"(55.6080229, 39.4511387)"
84,84,84,84,84,мытная улица,"(55.7277947, 37.6146379)"
85,85,85,85,85,гризодубой,
86,86,86,86,86,улица трёхгорный вал,"(55.7599351, 37.56071)"
87,87,87,87,87,2-й кожевнический пер.,"(55.726277, 37.6497268)"
88,88,88,88,88,поликарпова,"(55.7792388, 37.5479598)"
89,89,89,89,89,ленская,"(55.7755978, 38.7065211)"
90,90,90,90,90,миллионная улица,"(55.8175343, 37.702016)"
91,91,91,91,91,касаткина,"(55.8268317, 37.6515448)"
92,92,92,92,92,Большая Почтовая улица,"(55.7813963, 37.6965193)"
93,93,93,93,93,отрадное красногорский район,"(55.875505, 37.3130614)"
94,94,94,94,94,новинский б-р,
95,95,95,95,95,Старокрымская улица,"(55.5572332, 37.5569758)"
96,96,96,96,96,улица андреевка,"(55.9761713, 37.1489514)"
97,97,97,97,97,ул щипок,"(55.7261961, 37.630428)"
98,98,98,98,98,шоссейная,"(55.6575956, 37.7090065)"
99,99,99,99,99,улица 1905 года,"(55.7648142, 37.5613756)"
100,100,100,100,100,песчаный переулок,"(55.7966877, 37.5110424)"
101,101,101,101,101,айвозовского,
102,102,102,102,102,2-лихачевский,"(55.851368300000004, 37.52832537910976)"
103,103,103,103,103,малая ботаническая улица,"(55.8329829, 37.5944198)"
104,104,104,104,104,зацепский вал,"(55.731044, 37.6358497)"
105,105,105,105,105,большая внуковская,"(55.6075716, 37.3023304)"
106,106,106,106,106,1-й хорошевский проезд,"(55.7739591, 37.5449983)"
107,107,107,107,107,серпуховский вал,"(55.7108664, 37.6062347)"
108,108,108,108,108,улица говорова,"(55.7188313, 37.3955495)"
109,109,109,109,109,барболина,"(55.7862978, 37.689392)"
110,110,110,110,110,ленинский проспект ,"(55.7076167, 37.5862116)"
111,111,111,111,111,Кузьминская улица,"(55.6907199, 37.7895252)"
112,112,112,112,112,11-я текстильщиков,"(55.43920265, 37.72889175)"
113,113,113,113,113,васнецова переулок,"(55.7758169, 37.6255433)"
114,114,114,114,114,Козлова улица,"(55.7191582, 37.4485072)"
115,115,115,115,115,полярная улица,"(55.8815, 37.639155)"
116,116,116,116,116,Уральская улица,"(55.8161838, 37.798279)"
117,117,117,117,117,ломоносовкий проспект,
118,118,118,118,118,щепкина,"(55.7603421, 37.6212011)"
119,119,119,119,119,дубнинская ,"(55.8636583, 37.5665079)"
120,120,120,120,120,краснодарская улица,"(55.6765676, 37.7641428)"
121,121,121,121,121,Магаданская улица,"(55.8786339, 37.6857779)"
122,122,122,122,122,медынская ул.,"(55.5924371, 37.6534828)"
123,123,123,123,123,Оршанская улица,"(55.739125, 37.4123785)"
124,124,124,124,124,улица Михайлова,"(55.7276937, 37.7665671)"
125,125,125,125,125,улица академика миллионщикова,"(55.6657689, 37.6478337)"
126,126,126,126,126,улица маршала захарова,"(55.6180917, 37.6963537)"
127,127,127,127,127,академика королева,"(55.8218479, 37.6270218)"
128,128,128,128,128,13-я парковая,"(55.4318528, 37.5221189)"
129,129,129,129,129,улица Дмитрия Ульянова,"(55.6802724, 37.5951274)"
130,130,130,130,130,советская,"(55.5937958, 37.2054414)"
131,131,131,131,131,11-я парковая,"(55.792027, 37.7966382)"
132,132,132,132,132,новоясеневский пр-т,
133,133,133,133,133,краснопресненская набережная,"(55.7520816, 37.5531517)"
134,134,134,134,134,2 войковский проезд,"(55.8159578, 37.48759541276673)"
135,135,135,135,135,корабельная,"(55.6817153, 37.6955094)"
